id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index,highlights,notes
401282613,2021,1,regular,2021-09-04T23:30:00.000Z,False,False,False,,3923,Scott Stadium,258,Virginia,ACC,43.0,3.0,14.0,12.0,14.0,0.9978360435533092,2729,William & Mary,,0.0,0.0,0.0,0.0,0.0,0.0021639564466906,1.4621378182,,
401282179,2021,1,regular,2021-09-04T23:30:00.000Z,False,False,False,,3832,Memorial Stadium,356,Illinois,Big Ten,30.0,0.0,14.0,3.0,13.0,0.07725225121139,2636,UT San Antonio,Conference USA,37.0,7.0,13.0,3.0,14.0,0.92274774878861,6.8133547384,,
401282175,2021,1,regular,2021-09-04T23:30:00.000Z,False,False,False,,3825,Apogee Stadium,249,North Texas,Conference USA,44.0,7.0,17.0,17.0,3.0,0.9983080868428316,2466,Northwestern State,,14.0,0.0,14.0,0.0,0.0,0.0016919131571683,2.5549712982,,
401281946,2021,1,regular,2021-09-04T23:30:00.000Z,False,True,False,,3628,Bank of America Stadium,228,Clemson,ACC,3.0,0.0,0.0,0.0,3.0,0.0021786791632543,61,Georgia,SEC,10.0,0.0,7.0,3.0,0.0,0.9978213208367456,6.2345959402,,
401282610,2021,1,regular,2021-09-04T23:30:00.000Z,False,False,False,,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,21.0,0.0,7.0,0.0,14.0,,2459,Northern Illinois,Mid-American,22.0,7.0,7.0,0.0,8.0,,,,
401282177,2021,1,regular,2021-09-05T00:00:00.000Z,False,False,False,,6526,Hancock Whitney Stadium,6,South Alabama,Sun Belt,31.0,0.0,14.0,10.0,7.0,,2572,Southern Mississippi,Conference USA,7.0,7.0,0.0,0.0,0.0,,,,
401309839,2021,1,regular,2021-09-05T00:00:00.000Z,False,False,False,,3765,Husky Stadium,264,Washington,Pac-12,7.0,7.0,0.0,0.0,0.0,0.1349379696271513,149,Montana,,13.0,3.0,0.0,0.0,10.0,0.8650620303728487,4.4790919129,,
401282054,2021,1,regular,2021-09-05T00:00:00.000Z,False,False,False,,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,3.0,3.0,0.0,0.0,0.0,,2193,East Tennessee State,,23.0,0.0,10.0,3.0,10.0,,,,
401282053,2021,1,regular,2021-09-05T00:00:00.000Z,False,False,False,,3795,Kyle Field,245,Texas A&M,SEC,41.0,10.0,0.0,17.0,14.0,0.998324813334281,2309,Kent State,Mid-American,10.0,3.0,0.0,0.0,7.0,0.0016751866657189,1.8129877546,,
401287891,2021,1,regular,2021-09-05T00:00:00.000Z,False,False,False,,3616,Amon G. Carter Stadium,2628,TCU,Big 12,45.0,21.0,14.0,3.0,7.0,,2184,Duquesne,,3.0,0.0,0.0,3.0,0.0,,,,
401281948,2021,1,regular,2021-09-05T00:30:00.000Z,False,False,False,,1056,Rose Bowl,26,UCLA,Pac-12,38.0,0.0,14.0,10.0,14.0,0.9949572554583808,99,LSU,SEC,27.0,0.0,10.0,10.0,7.0,0.0050427445416191,6.7786752587,,
401282178,2021,1,regular,2021-09-05T01:00:00.000Z,False,False,False,,3946,Sun Bowl Stadium,2638,UTEP,Conference USA,38.0,10.0,0.0,7.0,21.0,0.9708432634648744,2065,Bethune-Cookman,,28.0,0.0,0.0,14.0,14.0,0.0291567365351255,3.874066424,,
401309837,2021,1,regular,2021-09-05T02:30:00.000Z,False,False,False,,3831,California Memorial Stadium,25,California,Pac-12,17.0,14.0,0.0,0.0,3.0,0.285646187135868,2440,Nevada,Mountain West,22.0,0.0,13.0,9.0,0.0,0.714353812864132,6.3284486527,,
401309841,2021,1,regular,2021-09-05T02:30:00.000Z,False,True,False,,6501,Allegiant Stadium,12,Arizona,Pac-12,16.0,0.0,3.0,10.0,3.0,0.0672071862264198,252,BYU,FBS Independents,24.0,0.0,14.0,7.0,3.0,0.93279281377358,3.0545201324,,
401310699,2021,1,regular,2021-09-05T02:30:00.000Z,False,False,False,,3932,Qualcomm Stadium,21,San Diego State,Mountain West,28.0,0.0,0.0,21.0,7.0,,166,New Mexico State,FBS Independents,10.0,3.0,7.0,0.0,0.0,,,,
401309840,2021,1,regular,2021-09-05T03:00:00.000Z,False,False,False,,3820,Martin Stadium,265,Washington State,Pac-12,23.0,0.0,6.0,14.0,3.0,0.1236432861029469,328,Utah State,Mountain West,26.0,3.0,2.0,6.0,15.0,0.876356713897053,3.9419241181,,
401310698,2021,1,regular,2021-09-05T03:59:00.000Z,False,False,False,,3610,Aloha Stadium,62,Hawai'i,Mountain West,49.0,28.0,7.0,7.0,7.0,,2502,Portland State,,35.0,0.0,7.0,21.0,7.0,,,,
401282614,2021,1,regular,2021-09-05T23:30:00.000Z,False,False,True,,3697,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,38.0,7.0,7.0,6.0,18.0,0.5529294591295038,87,Notre Dame,FBS Independents,41.0,7.0,10.0,21.0,0.0,0.4470705408704962,7.4132284343,,
